focalMethod,X,ReabilityScore,,usabilityScore,,Y,ReabilityScore,,usabilityScore,,Z,ReabilityScore,,usabilityScore,
"public AttributeInfo setArrayType(int arrayType) {
    this.arrayType = arrayType;
    return this;
}","@Test public void testSetArrayType() throws Exception { AttributeInfo attrInfo = new AttributeInfo(); attrInfo.setArrayType(1); }
",3,3,1,2,"@Test(timeout = 4000)
public void test18() throws Throwable {
    Class<JavaTimeInstantFormatter> class0 = JavaTimeInstantFormatter.class;
    JsonBeanAttribute jsonBeanAttribute0 = new JsonBeanAttribute();
    JsonReaderCodeGenerator.AttributeInfo jsonReaderCodeGenerator_AttributeInfo0 = new JsonReaderCodeGenerator.AttributeInfo(class0, jsonBeanAttribute0);
    jsonReaderCodeGenerator_AttributeInfo0.setArrayType(2015);
    assertEquals(2015, jsonReaderCodeGenerator_AttributeInfo0.getArrayType());
}",3,3,3,3,"@Test
public void testSetArrayType() {
    JsonBeanAttribute jsonBeanAttribute0 = new JsonBeanAttribute();
    Class<JavaTimeInstantFormatter> class0 = JavaTimeInstantFormatter.class;
    JsonReaderCodeGenerator.AttributeInfo jsonReaderCodeGenerator_AttributeInfo0 = new JsonReaderCodeGenerator.AttributeInfo(class0, jsonBeanAttribute0);
    jsonReaderCodeGenerator_AttributeInfo0.setArrayType(2015);
    assertEquals(2015, jsonReaderCodeGenerator_AttributeInfo0.getArrayType());
}",3,3,3,3
"public AttributeInfo setCollectionType(Class<?> collectionType) {
    this.collectionType = collectionType;
    return this;
}","@Test public void testSetCollectionType() throws Exception { AttributeInfo attrInfo = new AttributeInfo(); attrInfo.setCollectionType(String.class); }
",3,3,1,2,"@Test(timeout = 4000)
public void test20() throws Throwable {
    Class<JavaTimeInstantFormatter> class0 = JavaTimeInstantFormatter.class;
    JsonBeanAttribute jsonBeanAttribute0 = new JsonBeanAttribute();
    JsonReaderCodeGenerator.AttributeInfo jsonReaderCodeGenerator_AttributeInfo0 = new JsonReaderCodeGenerator.AttributeInfo(class0, jsonBeanAttribute0);
    JsonReaderCodeGenerator.AttributeInfo jsonReaderCodeGenerator_AttributeInfo1 = jsonReaderCodeGenerator_AttributeInfo0.setCollectionType(class0);
    assertEquals(0, jsonReaderCodeGenerator_AttributeInfo1.getArrayType());
}",2,2,3,2,"@Test(timeout = 4000)
public void testSetCollectionType() throws Throwable {
    // Create a new AttributeInfo object
    Class<JavaTimeInstantFormatter> class0 = JavaTimeInstantFormatter.class;
    JsonBeanAttribute jsonBeanAttribute0 = new JsonBeanAttribute();
    JsonReaderCodeGenerator.AttributeInfo attributeInfo = new JsonReaderCodeGenerator.AttributeInfo(class0, jsonBeanAttribute0);
    
    // Set the collection type using the setCollectionType method
    Class<?> collectionType = class0;
    attributeInfo.setCollectionType(collectionType);
    
    // Verify that the collection type is set correctly
    assertEquals(collectionType, attributeInfo.getCollectionType());
}",3,3,3,3
"public Object get(int index) {
    if (index >= size)
        throw new IndexOutOfBoundsException(""Index: "" + index + "", Size: "" + size);
    return elementData[index];
}","@Test(expected = IndexOutOfBoundsException.class) public void testGet() { new ObjectArray().get(0); }
",3,3,1,1,"@Test(timeout = 4000)
public void test03() throws Throwable {
    ObjectArray objectArray0 = new ObjectArray();
    // Undeclared exception!
    try {
        objectArray0.get(0);
        fail(""Expecting exception: IndexOutOfBoundsException"");
    } catch (IndexOutOfBoundsException e) {
        // 
        // Index: 0, Size: 0
        // 
        verifyException(""com.zappos.json.util.ObjectArray"", e);
    }
}",1,2,1,1,"@Test
public void testGet() {
    ObjectArray objectArray = new ObjectArray();
    int index = 0;
    try {
        objectArray.get(index);
        fail(""Expected IndexOutOfBoundsException to be thrown"");
    } catch (IndexOutOfBoundsException e) {
        assertEquals(""Index: "" + index + "", Size: "" + objectArray.size(), e.getMessage());
    }
}",2,2,2,2
"public static boolean isNumber(String s) {
    if (s == null || s.length() == 0)
        return false;
    if (!Character.isDigit(s.charAt(0)) && s.charAt(0) != '-')
        return false;
    int decimal = 0;
    for (int i = 1; i < s.length(); i++) {
        char c = s.charAt(i);
        if (Character.isDigit(c))
            continue;
        if (c == '.') {
            if (decimal == 1)
                return false;
            decimal++;
            continue;
        }
        return false;
    }
    return true;
}","@Test public void testIsNumber() throws Exception { assertTrue(Strings.isNumber("""")); assertTrue(Strings.isNumber("""")); assertTrue(Strings.isNumber("""")); assertTrue(Strings.isNumber("""")); assertTrue(Strings.isNumber("""")); assertTrue(Strings.isNumber("""")); assertTrue(Strings.isNumber("""")); assertTrue(Strings.isNumber("""")); assertTrue(Strings.isNumber("""")); assertTrue(Strings.isNumber("""")); assertTrue(Strings.isNumber("""")); assertTrue(Strings.isNumber("""")); assertTrue(Strings.isNumber("""")); assertTrue(Strings.isNumber("""")); assertTrue(Strings.isNumber("""")); assertTrue(Strings.isNumber("""")); assertTrue(Strings.isNumber("" "")); assertTrue(Strings.isNumber("" "")); assertTrue(Strings.isNumber("" "")); assertTrue(Strings.isNumber("" "")); assertTrue(Strings.isNumber("" "")); assertTrue(Strings.isNumber("" "")); assertTrue(Strings.isNumber("" "")); assertTrue(Strings.isNumber("" "")); assertTrue(Strings.isNumber("" "")); assertTrue(Strings.isNumber("" "")); assertTrue(Strings.isNumber("" "")); assertTrue(Strings.isNumber("" "")); assertTrue(Strings.isNumber("" "")); assertTrue(Strings.isNumber("" "")); }
",3,1,1,1,"@Test(timeout = 4000)
public void test00() throws Throwable {
    boolean boolean0 = Strings.isNumber(""6%DL@T^]&'LmYrP>"");
    assertFalse(boolean0);
}",3,3,3,3,"    @Test
    public void testIsNumber_ValidNumber_ReturnsTrue() {
        // Arrange
        String number = ""12345"";

        // Act
        boolean result = Strings.isNumber(number);

        // Assert
        assertTrue(result);
    }",3,3,3,3
"public static String randomNumber(int n) {
    char[] c = new char[n];
    for (int i = 0; i < n; i++) {
        c[i] = NUMBERS[RANDOM.nextInt(10)];
    }
    return new String(c);
}","@Test public void testRandomNumber() throws IOException { String s = Strings.randomNumber(10); Assert.assertEquals(""1"", s); }
",3,3,2,2,"@Test(timeout = 4000)
public void test03() throws Throwable {
    String string0 = Strings.randomNumber(0);
    assertEquals("""", string0);
}",3,3,2,2,"    @Test
    public void testRandomNumber() {
        String result = Strings.randomNumber(5);
        assertNotNull(result);
        assertEquals(5, result.length());
        assertTrue(Strings.isNumber(result));
    }",3,3,3,3
"public static String randomAlphabetic(int n) {
    char[] c = new char[n];
    for (int i = 0; i < n; i++) {
        int j = RANDOM.nextInt(26);
        c[i] = RANDOM.nextBoolean() ? BIG_LETTERS[j] : SMALL_LETTERS[j];
    }
    return new String(c);
}","@Test public void testRandomAlphabetic() throws IOException { String s = Strings.randomAlphabetic(10); Assert.assertEquals(s, ""1""); }
",3,3,1,1,"@Test(timeout = 4000)
public void test04() throws Throwable {
    String string0 = Strings.randomAlphabetic(0);
    assertEquals("""", string0);
}",3,3,2,2,"    @Test
    public void testRandomAlphabetic() {
        // Test case 1: n = 0
        String result1 = Strings.randomAlphabetic(0);
        assertEquals("""", result1);

        // Test case 2: n = 5
        String result2 = Strings.randomAlphabetic(5);
        assertEquals(5, result2.length());
        assertTrue(result2.matches(""[a-zA-Z]+""));

        // Test case 3: n = 10
        String result3 = Strings.randomAlphabetic(10);
        assertEquals(10, result3.length());
        assertTrue(result3.matches(""[a-zA-Z]+""));
    }",3,3,3,3
"public static String random(int n, char[] chars) {
    char[] c = new char[n];
    for (int i = 0; i < n; i++) {
        c[i] = chars[RANDOM.nextInt(chars.length)];
    }
    return new String(c);
}","@Test public void testRandom() throws IOException { String s = Strings.random(10, ""abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHI",1,1,1,1,"@Test(timeout = 4000)
public void test05() throws Throwable {
    char[] charArray0 = new char[3];
    String string0 = Strings.random(0, charArray0);
    assertEquals("""", string0);
}",3,3,2,2,"    @Test
    public void testRandom() {
        char[] chars = {'a', 'b', 'c', 'd', 'e'};
        int n = 5;
        String result = Strings.random(n, chars);
        
        // Check if the length of the generated string is equal to n
        assertEquals(n, result.length());
        
        // Check if all characters in the generated string are from the given char array
        for (char c : result.toCharArray()) {
            boolean found = false;
            for (char ch : chars) {
                if (c == ch) {
                    found = true;
                    break;
                }
            }
            assertTrue(found);
        }
    }",3,3,3,3
"public static String fromReader(Reader reader, int bufferSize) throws IOException {
    char[] arr = new char[bufferSize];
    StringBuilder buffer = new StringBuilder();
    int numCharsRead;
    while ((numCharsRead = reader.read(arr, 0, arr.length)) != -1) {
        buffer.append(arr, 0, numCharsRead);
    }
    reader.close();
    return buffer.toString();
}","@Test public void testFromReader() throws IOException { String result = Strings.fromReader(new StringReader(new byte[] { (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00 }); }
",1,1,1,1,"@Test(timeout = 4000)
public void test06() throws Throwable {
    StringReader stringReader0 = new StringReader(""!!n$d3!sd#&|iK"");
    String string0 = Strings.fromReader((Reader) stringReader0, 1);
    assertEquals(""!!n$d3!sd#&|iK"", string0);
}",3,3,3,3,"    @Test
    public void testFromReader() throws IOException {
        // Create a test input string
        String input = ""This is a test string"";

        // Create a StringReader object with the test input string
        Reader reader = new StringReader(input);

        // Define the expected output
        String expectedOutput = ""This is a test string"";

        // Define the buffer size
        int bufferSize = 1024;

        // Call the method under test
        String actualOutput = Strings.fromReader(reader, bufferSize);

        // Assert that the actual output matches the expected output
        assertEquals(expectedOutput, actualOutput);
    }",3,3,3,3
"public static String fromReader(Reader reader, int bufferSize) throws IOException {
    char[] arr = new char[bufferSize];
    StringBuilder buffer = new StringBuilder();
    int numCharsRead;
    while ((numCharsRead = reader.read(arr, 0, arr.length)) != -1) {
        buffer.append(arr, 0, numCharsRead);
    }
    reader.close();
    return buffer.toString();
}","@Test public void testFromReader() throws IOException { String result = Strings.fromReader(new StringReader(new byte[] { (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00, (byte) 0x00 }); }
",1,1,1,1,"@Test(timeout = 4000)
public void test06() throws Throwable {
    StringReader stringReader0 = new StringReader(""!!n$d3!sd#&|iK"");
    String string0 = Strings.fromReader((Reader) stringReader0, 1);
    assertEquals(""!!n$d3!sd#&|iK"", string0);
}",3,3,2,2,"    @Test
    public void testFromReader() throws IOException {
        // Create a test input string
        String input = ""This is a test string"";

        // Create a StringReader object with the test input string
        Reader reader = new StringReader(input);

        // Call the fromReader method with the test reader
        String result = Strings.fromReader(reader);

        // Verify that the result matches the test input string
        assertEquals(input, result);
    }",3,3,3,3
"public static void unescape(ZapposJson zapposJson, CharSequence value, Writer writer) throws IOException {
    boolean inescape = false;
    for (int i = 0; i < value.length(); i++) {
        char c = value.charAt(i);
        if (c != '\\' && !inescape) {
            writer.append(c);
            continue;
        } else if (c == '\\') {
            inescape = true;
            continue;
        }
        switch(c) {
            case 'u':
                writer.append(String.valueOf(Integer.parseInt(value.subSequence(i, 4).toString(), 16)));
                i += 4;
                break;
            case 't':
                writer.append('\t');
                break;
            case 'b':
                writer.append('\b');
                break;
            case 'n':
                writer.append('\n');
                break;
            case 'r':
                writer.append('\r');
                break;
            case 'f':
                writer.append('\f');
                break;
            case '\n':
            case '\'':
            case '""':
            case '\\':
            default:
                writer.append(c);
        }
        inescape = false;
    }
}","@Test public void testUnescape() throws IOException { String value = ""Hello World""; String result = JsonUtils.unescape(zapposJson, value); assertEquals(""Hello World"", result); }
",3,3,2,2,"@Test(timeout = 4000)
public void test00() throws Throwable {
    ZapposJson zapposJson0 = ZapposJson.getInstance(""*ai\""!ww'{-g3*\""*O[7"");
    // Undeclared exception!
    try {
        JsonUtils.unescape(zapposJson0, (CharSequence) ""&"", (Writer) null);
        fail(""Expecting exception: NullPointerException"");
    } catch (NullPointerException e) {
        // 
        // no message in exception (getMessage() returned null)
        // 
    }
}",3,3,1,1,"@Test
public void testUnescape() {
    ZapposJson zapposJson = ZapposJson.getInstance(""f[lX;J:ziZx\"""");

    CharSequence value = ""Hello\\nWorld"";
    String expected = ""Hello\nWorld"";
    StringWriter writer = new StringWriter();
    try {
        JsonUtils.unescape(zapposJson, value, writer);
    } catch (IOException e) {
        fail(""IOException occurred"");
    }
    String actual = writer.toString();
    assertEquals(expected, actual);
}",3,3,2,2
"public static String escape(ZapposJson zapposJson, CharSequence value) {
    StringWriter writer = new StringWriter();
    try {
        escape(zapposJson, value, writer);
    } catch (IOException e) {
    }
    return writer.toString();
}","@Test public void testEscape() throws IOException { String value = ""Hello World""; String escaped = JsonUtils.escape(zapposJson, value); assertEquals(""Hello World"", escaped); }
",3,3,2,2,"@Test(timeout = 4000)
public void test02() throws Throwable {
    ZapposJson zapposJson0 = ZapposJson.getInstance();
    CharBuffer charBuffer0 = CharBuffer.allocate(9);
    CharBuffer charBuffer1 = CharBuffer.wrap((CharSequence) charBuffer0, 0, 0);
    String string0 = JsonUtils.escape(zapposJson0, (CharSequence) charBuffer1);
    assertEquals("""", string0);
}",3,3,2,2,"@Test
public void testEscape() throws IOException {
    ZapposJson zapposJson = ZapposJson.getInstance();

    CharSequence value = ""Hello, \""World\""!"";
    StringWriter writer = new StringWriter();
    JsonUtils.escape(zapposJson, value, writer);
    String escapedValue = writer.toString();
    assertEquals(""Hello, \\\""World\\\""!"", escapedValue);
}",3,3,2,2
"public static String escape(ZapposJson zapposJson, CharSequence value) {
    StringWriter writer = new StringWriter();
    try {
        escape(zapposJson, value, writer);
    } catch (IOException e) {
    }
    return writer.toString();
}","@Test public void testEscape() throws IOException { String value = ""Hello World""; String escaped = JsonUtils.escape(zapposJson, value); assertEquals(""Hello World"", escaped); }
",3,3,2,2,"@Test(timeout = 4000)
public void test02() throws Throwable {
    ZapposJson zapposJson0 = ZapposJson.getInstance();
    CharBuffer charBuffer0 = CharBuffer.allocate(9);
    CharBuffer charBuffer1 = CharBuffer.wrap((CharSequence) charBuffer0, 0, 0);
    String string0 = JsonUtils.escape(zapposJson0, (CharSequence) charBuffer1);
    assertEquals("""", string0);
}",3,3,2,2,"@Test
public void testEscape() throws IOException {
    ZapposJson zapposJson = ZapposJson.getInstance();

    StringWriter writer = new StringWriter();
    CharSequence value = ""Hello, \""World\""!"";
    JsonUtils.escape(zapposJson, value, writer);
    assertEquals(""Hello, \\\""World\\\""!"", writer.toString());
}",3,3,2,2
"public static boolean classPresent(String className) {
    ClassLoader thisClassLoader = Reflections.class.getClassLoader();
    try {
        Class.forName(className, false, thisClassLoader);
        return true;
    } catch (ClassNotFoundException e) {
        return false;
    }
}","@Test public void testClassPresent() throws Exception { assertTrue(Reflections.classPresent(""java.lang.String"")); assertTrue(Reflections.classPresent(""java.lang.String"")); assertTrue(Reflections.classPresent(""java.lang.String"")); assertTrue(Reflections.classPresent(""java.lang.String"")); assertTrue(Reflections.classPresent(""java.lang.String"")); assertTrue(Reflections.classPresent(""java.lang.String"")); assertTrue(Reflections.classPresent(""java.lang.String"")); assertTrue(Reflections.classPresent(""java.lang.String"")); assertTrue(Reflections.classPresent(""java.lang.String"")); assertTrue(Reflections.classPresent(""java.lang.String"")); assertTrue(Reflections.classPresent(""java.lang.String"")); assertTrue(Reflections.classPresent(""java.lang.String"")); assertTrue(Reflections.classPresent(""java.lang.String"")); assertTrue(Reflections.classPresent(""java.lang.String"")); assertTrue(Reflections.classPresent(""java.lang.String"")); assertTrue(Reflections.classPresent(""java.lang.String"")); assertTrue(Reflections.classPresent(""java.lang.String"")); assertTrue(Reflections.classPresent(""java.lang.String"")); }
",3,2,2,2,"@Test(timeout = 4000)
public void test00() throws Throwable {
    boolean boolean0 = Reflections.classPresent(""|B7"");
    assertFalse(boolean0);
}",3,3,3,3,"    @Test
    public void testClassPresent_shouldReturnTrue_whenClassIsPresent() {
        // Arrange
        String className = ""java.lang.String"";

        // Act
        boolean result = Reflections.classPresent(className);

        // Assert
        assertTrue(result);
    }",3,3,3,3
"public static Class<?> getSecondGenericParameterType(Method method) {
    Class<?>[] types = getGenericParameterTypes(method);
    if (types != null && types.length > 1) {
        return types[1];
    }
    return null;
}",,1,1,1,1,"@Test(timeout = 4000)
public void test02() throws Throwable {
    // Undeclared exception!
    try {
        Reflections.getSecondGenericParameterType((Method) null);
        fail(""Expecting exception: NullPointerException"");
    } catch (NullPointerException e) {
        // 
        // no message in exception (getMessage() returned null)
        // 
        verifyException(""com.zappos.json.util.Reflections"", e);
    }
}",2,1,1,1,"@Test
public void testGetSecondGenericParameterType() throws NoSuchMethodException {
    // Create a sample class for testing
    class SampleClass<T, U> {
        public void sampleMethod(T param1, U param2) {}
    }

    // Get the sample method
    Method method = SampleClass.class.getMethod(""sampleMethod"", Object.class, Object.class);

    // Call the focal method
    Class<?> result = Reflections.getSecondGenericParameterType(method);

    // Assert the result
    assertNull(result);
}",3,3,3,3
"public static Class<?>[] getGenericTypes(Field field) {
    Type fieldType = field.getGenericType();
    if (fieldType instanceof ParameterizedType) {
        Type[] typeArgs = ((ParameterizedType) fieldType).getActualTypeArguments();
        if (typeArgs.length > 0) {
            List<Class<?>> genericTypes = new ArrayList<>();
            for (Type typeArg : typeArgs) {
                if (typeArg instanceof Class<?>) {
                    genericTypes.add((Class<?>) typeArg);
                }
            }
            return genericTypes.toArray(new Class[0]);
        }
    }
    return null;
}","@Test public void testGetGenericTypes() throws Exception { Class[] types = Reflections.getGenericTypes(getClass().getDeclaredField(""type"")); assertEquals(2, types.length); assertEquals(String.class, types[0]); }
",3,2,2,2,"@Test(timeout = 4000)
public void test03() throws Throwable {
    // Undeclared exception!
    try {
        Reflections.getGenericTypes((Field) null);
        fail(""Expecting exception: NullPointerException"");
    } catch (NullPointerException e) {
        // 
        // no message in exception (getMessage() returned null)
        // 
        verifyException(""com.zappos.json.util.Reflections"", e);
    }
}",2,1,1,1,"    @Test
    public void testGetGenericTypes() throws NoSuchFieldException {
        // Create a test class with a parameterized field
        class TestClass {
            List<String> myList;
        }

        // Get the field from the test class
        Field field = TestClass.class.getDeclaredField(""myList"");

        // Call the method under test
        Class<?>[] genericTypes = Reflections.getGenericTypes(field);

        // Assert the result
        assertNotNull(genericTypes);
        assertEquals(1, genericTypes.length);
        assertEquals(String.class, genericTypes[0]);
    }",3,3,3,3
"public static Field getField(Class<?> clazz, String fieldName) throws NoSuchFieldException {
    if (clazz == Object.class) {
        return null;
    }
    try {
        Field field = clazz.getDeclaredField(fieldName);
        return field;
    } catch (NoSuchFieldException e) {
        return getField(clazz.getSuperclass(), fieldName);
    }
}","@Test public void testGetField() throws NoSuchFieldException { Field field = Reflections.getField(TestClass.class, ""testField""); Assert.assertNotNull(field); Assert.assertEquals(""testField"", field.getName()); }
",3,3,3,3,"@Test(timeout = 4000)
public void test07() throws Throwable {
    Class<Annotation> class0 = Annotation.class;
    // Undeclared exception!
    try {
        Reflections.getField(class0, "" A6)j>Vi@=Y"");
        fail(""Expecting exception: NullPointerException"");
    } catch (NullPointerException e) {
        // 
        // no message in exception (getMessage() returned null)
        // 
        verifyException(""com.zappos.json.util.Reflections"", e);
    }
}",2,1,2,1,"@Test(timeout = 4000)
public void testGetField() throws Throwable {
    Class<Annotation> class0 = Annotation.class;
    try {
        Reflections.getField(class0, "" A6)j>Vi@=Y"");
        fail(""Expecting exception: NullPointerException"");
    } catch (NullPointerException e) {
        verifyException(""com.zappos.json.util.Reflections"", e);
    }
}",2,1,2,1
